PW_gene	PW_id	PW_name						
AT5G57030	PWY-5946	&delta;-carotene biosynthesis	RXN1F-147	5.5.1.18	AT5G57030-MONOMER	lycopene &epsilon; cyclase	AT5G57030	LUT2
AT5G37830	PWYQT-4470	&gamma;-glutamyl cycle (plant pathway)	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	3.5.2.9	AT5G37830-MONOMER	5-oxoprolinase	AT5G37830	AT5G37830
AT5G27380	PWYQT-4470	&gamma;-glutamyl cycle (plant pathway)	GLUTATHIONE-SYN-RXN	6.3.2.3	CPLX-7214	glutathione synthetase	AT5G27380	AT5G27380
AT4G23100	PWYQT-4470	&gamma;-glutamyl cycle (plant pathway)	GLUTCYSLIG-RXN	6.3.2.2	AT4G23100-MONOMER	glutamate-cysteine ligase	AT4G23100	At4g23100
AT1G63770	PWYQT-4470	&gamma;-glutamyl cycle (plant pathway)	RXN-6622	3.4.11.2	AT1G63770-MONOMER	membrane alanyl aminopeptidase	AT1G63770	AT1G63770
AT5G47770	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT5G47770-MONOMER	geranyltranstransferase	AT5G47770	FPS1
AT5G47770	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT5G47770-MONOMER	dimethylallyltranstransferase	AT5G47770	FPS1
AT5G16440	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	IPPISOM-RXN	5.3.3.2	AT5G16440-MONOMER	isopentenyl-diphosphate delta-isomerase	AT5G16440	IPP1
AT4G38460	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT4G38460-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT4G38460	AT4G38460
AT4G36810	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT4G36810-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT4G36810	GGPS1
AT4G36810	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT4G36810-MONOMER	dimethylallyl<i>trans</i>transferase	AT4G36810	GGPS1
AT4G17190	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT4G17190-MONOMER	geranyltranstransferase	AT4G17190	FPS2
AT4G17190	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT4G17190-MONOMER	dimethylallyltranstransferase	AT4G17190	FPS2
AT3G32040	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT3G32040-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT3G32040	AT3G32040
AT3G32040	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT3G32040-MONOMER	dimethylallyl<i>trans</i>transferase	AT3G32040	AT3G32040
AT3G29430	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT3G29430-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT3G29430	AT3G29430
AT3G29430	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT3G29430-MONOMER	dimethylallyl<i>trans</i>transferase	AT3G29430	AT3G29430
AT3G20160	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT3G20160-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT3G20160	AT3G20160
AT3G20160	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT3G20160-MONOMER	dimethylallyl<i>trans</i>transferase	AT3G20160	AT3G20160
AT3G14550	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT3G14550-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT3G14550	GGPS3
AT3G14550	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT3G14550-MONOMER	dimethylallyl<i>trans</i>transferase	AT3G14550	GGPS3
AT3G14530	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT3G14530-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT3G14530	AT3G14530
AT3G14530	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT3G14530-MONOMER	dimethylallyl<i>trans</i>transferase	AT3G14530	AT3G14530
AT3G14510	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT3G14510-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT3G14510	AT3G14510
AT3G14510	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT3G14510-MONOMER	dimethylallyl<i>trans</i>transferase	AT3G14510	AT3G14510
AT3G02780	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	IPPISOM-RXN	5.3.3.2	AT3G02780-MONOMER	isopentenyl-diphosphate delta-isomerase	AT3G02780	IPP2
AT2G34630	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT2G34630-MONOMER	geranylpyrophosphate synthase	AT2G34630	GPPS
AT2G23800	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT2G23800-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT2G23800	GGPS2
AT2G23800	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT2G23800-MONOMER	dimethylallyl<i>trans</i>transferase	AT2G23800	GGPS2
AT2G18640	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT2G18640-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT2G18640	GGPS4
AT2G18640	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT2G18640-MONOMER	dimethylallyl<i>trans</i>transferase	AT2G18640	GGPS4
AT2G18620	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT2G18620-MONOMER	farnesyl diphosphate synthase	AT2G18620	AT2G18620
AT2G18620	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT2G18620-MONOMER	dimethylallyl<i>trans</i>transferase	AT2G18620	AT2G18620
AT1G79690	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	IPPISOM-RXN	5.3.3.2	AT1G79690-MONOMER	isopentenyl pyrophosphate isomerase	AT1G79690	AT1G79690
AT1G49530	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	FPPSYN-RXN	2.5.1.10	AT1G49530-MONOMER	"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate synthase"	AT1G49530	GGPS6
AT1G49530	PWY-6859	<i>all-trans</i>-farnesol biosynthesis	GPPSYN-RXN	2.5.1.1	AT1G49530-MONOMER	dimethylallyl<i>trans</i>transferase	AT1G49530	GGPS6
AT4G13050	PWY-5973	<i>cis</i>-vaccenate biosynthesis	RXN-9555	3.1.2.14	AT4G13050-MONOMER	oleoyl-[acyl-carrier-protein] hydrolase	AT4G13050	AT4G13050
AT3G25110	PWY-5973	<i>cis</i>-vaccenate biosynthesis	RXN-9555	3.1.2.14	AT3G25110-MONOMER	oleoyl-[acyl-carrier-protein] hydrolase	AT3G25110	AT3G25110
AT3G05260	PWY-5973	<i>cis</i>-vaccenate biosynthesis	RXN-9556	1.1.1.100	AT3G05260-MONOMER	3-oxoacyl-[acyl-carrier-protein] reductase	AT3G05260	AT3G05260
AT1G54870	PWY-5973	<i>cis</i>-vaccenate biosynthesis	RXN-9556	1.1.1.100	AT1G54870-MONOMER	3-oxoacyl-[acyl-carrier-protein] reductase	AT1G54870	AT1G54870
AT1G24360	PWY-5973	<i>cis</i>-vaccenate biosynthesis	RXN-9556	1.1.1.100	AT1G24360-MONOMER	3-oxoacyl-[acyl-carrier-protein] reductase	AT1G24360	AT1G24360
AT1G08510	PWY-5973	<i>cis</i>-vaccenate biosynthesis	RXN-9555	3.1.2.14	AT1G08510-MONOMER	oleoyl-[acyl-carrier-protein] hydrolase	AT1G08510	AT1G08510
AT5G20040	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT5G20040-MONOMER	tRNA dimethylallyltransferase	AT5G20040	AT5G20040
AT5G19040	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT5G19040-MONOMER	tRNA dimethylallyltransferase	AT5G19040	IPT5
AT4G24650	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT4G24650-MONOMER	tRNA dimethylallyltransferase	AT4G24650	IPT4
AT3G63110	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT3G63110-MONOMER	tRNA dimethylallyltransferase	AT3G63110	IPT3
AT3G23630	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT3G23630-MONOMER	tRNA dimethylallyltransferase	AT3G23630	IPT7
AT3G19160	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT3G19160-MONOMER	tRNA dimethylallyltransferase	AT3G19160	IPT8
AT2G27760	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT2G27760-MONOMER	tRNA isopentenyltransferase	AT2G27760	IPT2
AT1G68460	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT1G68460-MONOMER	tRNA dimethylallyltransferase	AT1G68460	IPT1
AT1G25410	PWY-2781	<i>cis</i>-zeatin biosynthesis	RXN0-6274	2.5.1.75	AT1G25410-MONOMER	tRNA dimethylallyltransferase	AT1G25410	IPT6
AT4G02780	PWY-5032	<i>ent</i>-kaurene biosynthesis I	5.5.1.13-RXN	5.5.1.13	AT4G02780-MONOMER	ent-copalyl diphosphate synthase	AT4G02780	CPS
AT1G79460	PWY-5032	<i>ent</i>-kaurene biosynthesis I	4.2.3.19-RXN	4.2.3.19	AT1G79460-MONOMER	ent-kaurene synthase	AT1G79460	KS1
AT5G46180	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	ORNITHINE-GLU-AMINOTRANSFORASE-RXN	2.6.1.13	AT5G46180-MONOMER	ornithine-&delta;-aminotransferase	AT5G46180	&delta;-OAT
AT5G38710	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	RXN-821	1.5.99.8	AT5G38710-MONOMER	proline dehydrogenase	AT5G38710	AT5G38710
AT4G08900	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	ARGINASE-RXN	3.5.3.1	AT4G08900-MONOMER	arginase	AT4G08900	ARGAH2
AT4G08870	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	ARGINASE-RXN	3.5.3.1	AT4G08870-MONOMER	arginase	AT4G08870	ARGAH1
AT3G55610	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	PROLINE-MULTI	-	AT3G55610-MONOMER	&delta;1-pyrroline-5-carboxylate synthetase	AT3G55610	P5CS2
AT3G30775	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	RXN-821	1.5.99.8	AT3G30775-MONOMER	proline dehydrogenase	AT3G30775	AT3G30775
AT2G39800	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	PROLINE-MULTI	-	AT2G39800-MONOMER	&delta;1-pyrroline-5-carboxylate synthetase	AT2G39800	P5CS1
AT2G39030	PWY-6922	<i>L-N<sup>&delta;</sup></i>-acetylornithine biosynthesis	RXN-12667	2.3.1.-	AT2G39030-MONOMER	ornithine <i>N</i><sup>&delta;</sup>-acetyltransferase	AT2G39030	AT2G39030
AT5G10170	PWY-2301	<i>myo</i>-inositol biosynthesis	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	5.5.1.4	AT5G10170-MONOMER	inositol-1-phosphate synthase	AT5G10170	AT5G10170
AT4G39800	PWY-2301	<i>myo</i>-inositol biosynthesis	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	5.5.1.4	AT4G39800-MONOMER	inositol-1-phosphate synthase	AT4G39800	AT4G39800
AT4G39120	PWY-2301	<i>myo</i>-inositol biosynthesis	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	3.1.3.25	AT4G39120-MONOMER	myo-inositol 3-phosphate monophosphatase	AT4G39120	HISN7
AT3G02870	PWY-2301	<i>myo</i>-inositol biosynthesis	MYO-INOSITOL-1OR-4-MONOPHOSPHATASE-RXN	3.1.3.25	AT3G02870-MONOMER	inositol-1(or 4)-monophosphatase	AT3G02870	VTC4
